ID_CNT_CONTRATO,NUMEROCONTRATO,PRECIOCONTRATO,FECHACONCERTACION,FECHAENTREGADESDE,FECHAENTREGAHASTA,tipoContrato_DESCRIPCION,OPERADORCOMERCIAL,MONEDA,ESTADOCONTRATO,CLIENTE_RAZONSOCIAL_CABECERA,PRODUCTO,PROVEEDOR_RAZONSOCIAL_CABECERA,CANTIDAD,CANTIDADORIGINAL,CANTIDADENTREGADA,CANTIDADLIQUIDADA,LUGARENTREGA,ZC,LOCALIDAD_LUGARENTREGA,PROVINCIA_LUGARENTREGA,NEGOCIO,MOTIVOOPERACION,COSECHA
306714,,430.0,2025-08-28,2025-08-28,2025-09-27,Precio Fijo,msiro,Dolares,ENTREGADO,BUNGE ARGENTINA S.A.,"SOLMIX 28-5,2",,18.06,18.0,18.06,18.06,BUNGEQQLIQ,NECOCHEA,QUEQUEN,Buenos Aires,Agro Insumos,Compra,25/26
306588,,171.14,2025-08-27,2025-08-27,2025-09-26,Precio Fijo,lrodriguez1,Dolares,TERMINADO,PELAYO AGRONOMIA S.A.,MAIZ,,18.383,18.383,18.383,18.383,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Operac Primarias,Compra,24/25
307410,,,2025-09-02,2025-09-02,2025-10-02,Precio a Fijar,lledesma,Dolares,ENTREGADO,COFCO INTERNATIONAL ARGENTINA S.A.,SOJA,,79.536,74.83,79.536,0.0,COFCO TIMBUES,UP RIVER,TIMBUES JOSE MARIA,Santa Fe,Operac Primarias,Venta,24/25
308796,,201.0,2025-09-09,2025-09-09,2025-10-09,Precio Fijo,lchima,Dolares,TERMINADO,CEREALIA SA,TRIGO PAN,AGRINTER CEREALES SRL,53.854,53.854,53.854,53.854,RENOVA TIMBUES,UP RIVER,TIMBUES JOSE MARIA,Santa Fe,Cereales Expo,Compra,24/25
308351,,175.0,2025-09-05,2025-09-05,2025-10-05,Precio Fijo,parrigone,Dolares,ENTREGADO,NUTRIEN AG SOLUTIONS ARGENTINA SA,MAIZ,GRANAR S.A.,101.944,100.0,101.944,100.0,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Cereales Expo,Compra,24/25
307511,,,2025-09-02,2025-12-01,2025-12-31,Precio a Fijar,edibaggio,Dolares,CONFIRMADO,GARFIN AGRO S.A.,TRIGO PAN,,83.0,83.0,0.0,0.0,RENOVA TIMBUES,UP RIVER,TIMBUES JOSE MARIA,Santa Fe,Operac Primarias,Compra,25/26
17622,,160.0,2019-02-13,2019-02-13,2019-03-15,Precio Fijo,dpirola,Dolares,TERMINADO,ESTABLECIMIENTO DONA JULIA S.A.,CEBADA FORRAJERA,ENRIQUE R. ZENI Y CIA. S.A.,1004.83,1000.0,1004.83,1004.83,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Cereales Expo,Compra,18/19
17571,,160.0,2019-02-12,2019-02-12,2019-03-14,Precio Fijo,dpirola,Dolares,TERMINADO,LA EMANCIPACION SOC.COOP.MIXTA COOP.LTDA,CEBADA FORRAJERA,ASOC.DE COOP.ARGENTINAS COOP.LTDA,118.86,120.0,118.86,118.86,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Cereales Expo,Compra,18/19
312011,,195.0,2025-09-24,2025-12-01,2025-12-31,Precio Fijo,mnunez,Dolares,CONFIRMADO,NVD PARTICIPACIONES S.A.,CEBADA FORRAJERA,NEGOCIOS DE GRANOS S.A.,1000.0,1000.0,0.0,0.0,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Cereales Expo,Compra,25/26
309831,,175.0,2025-09-15,2025-09-15,2025-10-15,Precio Fijo,dmanzor,Dolares,ENTREGADO,ROAGRO NEGOCIOS S. A.,MAIZ,ROAGRO SA,210.0,210.0,205.64,205.64,VITERRA PTO.GALVAN BB (SITIO 2-3),BAHIA BLANCA,PUERTO GALVAN,Buenos Aires,Cereales Expo,Compra,24/25
