ID_CNT_CONTRATO,NUMEROCONTRATO,PRECIOCONTRATO,FECHACONCERTACION,FECHAENTREGADESDE,FECHAENTREGAHASTA,tipoContrato_DESCRIPCION,OPERADORCOMERCIAL,MONEDA,ESTADOCONTRATO,CLIENTE_RAZONSOCIAL_CABECERA,PRODUCTO,PROVEEDOR_RAZONSOCIAL_CABECERA,CANTIDAD,CANTIDADORIGINAL,CANTIDADENTREGADA,CANTIDADLIQUIDADA,LUGARENTREGA,ZC,LOCALIDAD_LUGARENTREGA,PROVINCIA_LUGARENTREGA,NEGOCIO,MOTIVOOPERACION,COSECHA
593845,6463484,250117.14,2020-06-16,2020-06-16,2020-07-12,Precio Fijo,OPERADOR ALQU-ORTE 031,Pesos Argentinos,TERMINADO,CLIENTE ORRI-ZOXE 873,TRIGO PAN,PROVEEDOR PACA-URKA 027,335.127,343.836,215.988,215.988,PUERTO XEPA-VIAL 001,ZC41,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2021/22
221406,6336319,275.64,2020-08-27,2020-08-27,2020-09-27,Precio Fijo,OPERADOR NOKA-JONO 017,Pesos Argentinos,TERMINADO,CLIENTE JONO-ELVI 500,SOJA,PROVEEDOR BEAL-PALU 024,37.039,264.314,195.48,185.436,PUERTO NOEL-TEWO 002,ZC20,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2021/22
101182,1612341,233.41,2019-10-24,2019-10-24,2019-10-30,Precio Fijo,OPERADOR ALSA-MEVI 018,Dolares,TERMINADO,CLIENTE JOKA-ZOLU 017,TRIGO PAN,PROVEEDOR ALLU-XEWO 062,28.778,61.138,51.156,27.532,PUERTO NOEL-TEWO 002,ZC20,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2018/19
407672,2021618,3519.27,2019-08-03,2019-08-28,2019-09-26,Precio Fijo,OPERADOR NOKA-JOUR 055,Dolares,ENTREGADO,CLIENTE JOUR-QUOR 842,MAIZ,PROVEEDOR HACA-LUKA 003,88.474,571.929,567.469,382.284,PUERTO NOEL-TEWO 002,ZC41,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
161643,5285267,153215.67,2019-02-14,2019-02-15,2019-03-17,Precio Fijo,OPERADOR TEEL-RIJO 015,Pesos Argentinos,CONFIRMADO,CLIENTE ZOYA-ZOVI 888,CEBADA FORRAJERA,PROVEEDOR RIPA-FIKA 086,55.01,617.329,267.428,267.428,PUERTO NOEL-TEWO 002,ZC77,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2020/21
438548,5165323,180.3,2019-01-06,2019-10-07,2019-11-07,Precio a Fijar,OPERADOR IRAL-KAYA 042,Pesos Argentinos,TERMINADO,CLIENTE URRI-XECA 600,TRIGO PAN,PROVEEDOR RIEL-GAKA 056,480.882,460.91,165.02,165.02,PUERTO ELBE-LUFI 003,ZC62,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2021/22
709246,9022299,165.34,2019-06-17,2019-06-24,2019-08-08,Precio Fijo,OPERADOR YAUR-ALFI 054,Pesos Argentinos,TERMINADO,CLIENTE ZOUR-JOZO 495,TRIGO PAN,PROVEEDOR DOTE-QURI 038,111.912,21.717,10.989,10.989,PUERTO MEQU-CACA 004,ZC57,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2019/20
826049,7261826,166.45,2019-06-01,2019-06-01,2019-07-02,Precio Fijo,OPERADOR CACA-QUBE 019,Pesos Argentinos,TERMINADO,CLIENTE LUEL-HAAL 521,MAIZ,PROVEEDOR NOJO-ORJO 039,27.553,71.972,38.468,38.468,PUERTO ELBE-LUFI 003,ZC62,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2021/22
710597,1711896,158910.42,2020-10-17,2020-10-21,2020-11-15,Precio Fijo,OPERADOR ELKA-MEHA 023,Pesos Argentinos,TERMINADO,CLIENTE BEZO-MEEL 115,CEBADA FORRAJERA,PROVEEDOR MERI-TEFI 063,100.333,1514.818,1406.717,944.539,PUERTO NOEL-TEWO 002,ZC25,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Operac Primarias,Compra,2023/24
456673,7230162,185.39,2019-07-12,2019-07-14,2019-08-13,Precio a Fijar,OPERADOR KAEL-SAZO 030,Dolares,TERMINADO,CLIENTE DOGA-YAWO 880,MAIZ,PROVEEDOR VIGA-YAME 033,336.598,122.649,64.772,64.772,PUERTO NOEL-TEWO 002,ZC77,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2018/19
612637,8071386,148.1,2020-04-03,2020-04-09,2020-05-10,Precio Fijo,OPERADOR DOEL-ELPA 026,Dolares,TERMINADO,CLIENTE GAQU-NOLU 716,TRIGO PAN,PROVEEDOR WOIR-CARI 051,549.84,54.753,33.604,33.184,PUERTO NOEL-TEWO 002,ZC25,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2023/24
757981,1188469,431.93,2019-10-28,2019-10-28,2019-11-27,Precio a Fijar,OPERADOR TEHA-DOUR 001,Dolares,TERMINADO,CLIENTE ZOYA-ZOVI 888,SOJA,PROVEEDOR WOZO-YAXE 019,67.414,128.141,80.489,80.489,PUERTO NOEL-TEWO 002,ZC18,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2018/19
153426,8389562,118.67,2020-07-16,2020-07-16,2020-08-10,Precio Fijo,OPERADOR ORIR-NOYA 014,Pesos Argentinos,TERMINADO,CLIENTE BEKA-FITE 314,CEBADA FORRAJERA,PROVEEDOR ORHA-NOTE 075,553.473,332.209,332.209,109.944,PUERTO ELBE-LUFI 003,ZC90,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2019/20
619999,7262794,168.22,2019-11-09,2019-11-14,2019-12-04,Precio a Fijar,OPERADOR YAME-VIRI 003,Dolares,TERMINADO,CLIENTE MEQU-RIIR 410,TRIGO PAN,PROVEEDOR LUSA-YAUR 048,238.654,53.464,37.269,28.779,PUERTO ELBE-LUFI 003,ZC18,CIUDAD JOEL-WODO 004,PROVINCIA HAME-WORI 002,Operac Primarias,Compra,2021/22
788849,9297265,253818.86,2019-01-12,2019-01-12,2019-02-17,Precio Fijo,OPERADOR PAQU-XEYA 020,Dolares,TERMINADO,CLIENTE HAUR-SAZO 033,TRIGO PAN,PROVEEDOR GAGA-LUOR 045,28.003,285.027,285.027,192.544,PUERTO MEQU-CACA 004,ZC77,CIUDAD TEIR-BEOR 003,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2018/19
960243,3802482,5045.55,2019-05-09,2019-05-09,2019-06-12,Precio Fijo,OPERADOR TEEL-RIJO 015,Pesos Argentinos,TERMINADO,CLIENTE RIIR-ORYA 719,MAIZ,PROVEEDOR QUEL-DOME 065,78.211,85.6,69.704,33.723,PUERTO NOEL-TEWO 002,ZC20,CIUDAD TEIR-BEOR 003,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2022/23
892741,9040609,160.06,2020-08-20,2020-08-25,2020-09-21,Precio Fijo,OPERADOR GAGA-QUHA 029,Dolares,CONFIRMADO,CLIENTE VIDO-LURI 779,TRIGO PAN,PROVEEDOR JODO-CAPA 012,271.447,219.526,191.573,124.575,PUERTO NOEL-TEWO 002,ZC25,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2020/21
484565,5372755,5841.91,2020-04-05,2020-04-10,2020-04-23,Precio Fijo,OPERADOR LUTE-KAFI 006,Dolares,TERMINADO,CLIENTE ALAL-VIBE 276,MAIZ,PROVEEDOR YAOR-IRVI 074,77.975,47.655,47.655,15.901,PUERTO ELBE-LUFI 003,ZC01,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Operac Primarias,Compra,2025/26
529427,6239598,192.61,2019-12-29,2019-12-29,2020-01-25,Precio Fijo,OPERADOR MEJO-SAVI 039,Dolares,CONFIRMADO,CLIENTE NOZO-LUPA 591,TRIGO PAN,PROVEEDOR LUZO-BEME 031,25.187,220.039,194.297,165.475,PUERTO ELBE-LUFI 003,ZC49,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2021/22
582498,2889811,5262.73,2019-12-17,2019-12-23,2020-01-25,Precio Fijo,OPERADOR URIR-WOEL 051,Pesos Argentinos,ENTREGADO,CLIENTE ALAL-CAOR 477,MAIZ,PROVEEDOR URHA-WOCA 087,26.315,3116.97,2112.283,2112.283,PUERTO NOEL-TEWO 002,ZC62,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2018/19
755551,2014836,202948.51,2019-08-25,2019-09-28,2019-11-01,Precio Fijo,OPERADOR YAUR-ALFI 054,Dolares,TERMINADO,CLIENTE VIPA-DOSA 426,MAIZ,PROVEEDOR RIUR-ELUR 064,231.699,912.895,467.754,467.754,PUERTO NOEL-TEWO 002,ZC20,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2024/25
671344,8019460,208.12,2020-11-02,2020-11-06,2020-12-04,Precio Fijo,OPERADOR IRAL-KAYA 042,Dolares,ENTREGADO,CLIENTE RIZO-ALTE 092,TRIGO PAN,PROVEEDOR RIPA-FIKA 086,24.204,113.158,101.948,45.699,PUERTO NOEL-TEWO 002,ZC09,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2020/21
903399,2819971,175.92,2020-10-03,2020-10-04,2020-11-03,Precio Fijo,OPERADOR TEKA-ELVI 044,Dolares,ENTREGADO,CLIENTE NOME-ALEL 712,MAIZ,PROVEEDOR KAME-TEME 059,448.915,97.899,84.294,79.995,PUERTO MEQU-CACA 004,ZC90,CIUDAD URVI-XEKA 005,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2021/22
